Group	Sample
8	BALF_Ren_ANB21_SRR5677656
8	BALF_Ren_ANB22_SRR5677657
8	BALF_Ren_ANB23_SRR5677654
8	BALF_Ren_ANB30_SRR5677661
8	BALF_Ren_ANB32_SRR5677658
8	BALF_Ren_ANB33_SRR5677659
8	BALF_Ren_ANB40_SRR5677652
9	COVID19_PBMC_Xiong_P1_CRR119891
9	COVID19_PBMC_Xiong_P2_CRR119892
9	COVID19_PBMC_Xiong_P3_CRR119893
9	PBMC_Xiong_CRR119890
9	PBMC_Xiong_CRR125445
9	PBMC_Xiong_CRR125446
10	Plaque_SRR5787581
10	Plaque_SRR5787582
10	Plaque_SRR5787583
10	Plaque_SRR5787584
10	Plaque_SRR5787585
10	Plaque_SRR5787586
11	Sputum_SRR10152593
11	Sputum_SRR10152587
11	Sputum_SRR10152588
